PLOT,Length,Date1,Year1,E_Date1,Duration1,Start1,StartMin1,CHECK1,Date2,Year2,E_Date2,Duration2,Start2,StartMin2
AblemanGorge,1141,6/22/1979,1979,29028,110,5:00,300,N,6/25/1999,1999,36336,110,5:40 AM,340
BaxterHollowStreamGorge,1954,6/14/1977,1977,28290,180,5:15,315,N,6/13/1997,1997,35594,180,5:40 AM,340
BittrickHollow,1135,6/29/1978,1978,28670,60,5:50,350,Y,6/13/2003,2003,37785,60,5:50 AM,350
DevilsLakeRedOakSNA,1286,6/25/1979,1979,29031,140,5:10,310,N,6/25/1997,1997,35606,140,7:00 AM,420
HalsValley,1497,6/18/1977,1977,28294,45,5:30,330,Y,6/25/2000,2000,36702,45,5:30 AM,330
HanleyGorge,612,5/30/1978,1978,28640,40,7:00,420,N,6/19/1995,1995,34869,25,5:48 AM,348
HogsBackDryMesicForest,1622,6/13/1978,1978,28654,60,8:30,510,Y,6/13/2000,2000,36690,60,8:30 AM,510
HogsBackJackPine,1383,6/13/1978,1978,28654,60,5:30,330,Y,6/13/1978,1978,28654,60,5:30 AM,330
HogsBackOakPineForest,1543,6/13/1978,1978,28654,45,6:30,390,Y,6/13/2000,2000,36690,70,6:30 AM,390
KlondikeCampground,1242,6/8/1978,1978,28649,40,5:55,355,Y,7/1/1999,1999,36342,40,5:55 AM,355
NarrowsCreekGorge,1220,6/2/1978,1978,28643,110,7:00,420,N,6/6/2000,2000,36683,110,6:40 AM,400
PanHollow,1201,6/9/1977,1977,28285,180,5:15,315,N,6/22/1998,1998,35968,180,5:24 AM,324
ProvorseHollow,865,6/17/1977,1977,28293,45,6:25,385,N,6/24/1999,1999,36335,45,6:43 AM,403
SaukHillPowerline,2277,6/19/1978,1978,28660,190,5:06,306,Y,6/17/2007,2007,39250,200,5:06 AM,306
SumpterCutover,1846,6/4/1978,1978,28645,30,5:55,355,N,6/3/1999,1999,36314,30,6:20 AM,380
SumpterLoggedOakWoods,402,6/4/1978,1978,28645,10,7:40,460,N,6/3/1999,1999,36314,10,6:10 AM,370
WildcatCanyon,845,6/2/1978,1978,28643,60,5:40,340,N,6/6/2000,2000,36683,60,5:20 AM,320
WinterCreekGorge,607,6/17/1977,1977,28293,45,5:02,302,N,6/24/1999,1999,36335,45,5:39 AM,339
