PLOT,Year,Core250m,Core500m,Core1000m,Core2000m,Edge250m,Edge500m,Edge1000m,Edge2000m,Homestead250m,Homestead500m,Homestead1000m,Homestead2000m,House250m,House500m,House1000m,House2000m
AblemanGorge,1970,0.146713615,0.087973795,0.063257513,0.083938151,0.320422535,0.187178287,0.147932924,0.143157673,0.013,0.036,0.085,0.122,0.013,0.052,0.114,0.176
BaxterHollowStreamGorge,1970,0.775981524,0.791133005,0.798488342,0.709227087,0.014626636,0.039737274,0.051114527,0.056505939,0,0.004,0.004,0.007,0,0.004,0.004,0.019
BittrickHollow,1970,0.784653465,0.588029925,0.342569714,0.312235591,0.112623762,0.125187032,0.15019414,0.128509423,0,0.006,0.055,0.057,0,0.022,0.1,0.137
DevilsLakeRedOakSNA,1970,0.623546512,0.667255595,0.707670906,0.702670763,0.199127907,0.155477032,0.112281399,0.075218624,0.016,0.007,0.004,0.007,0.032,0.013,0.022,0.012
HalsValley,1970,0.912129895,0.699086939,0.565959341,0.435273888,0.042024833,0.119094879,0.131176732,0.138000491,0,0.013,0.051,0.059,0,0.031,0.125,0.116
HanleyGorge,1970,0.352459016,0.238439306,0.107637338,0.150022025,0.334016393,0.23699422,0.148057168,0.163425839,0,0.008,0.022,0.018,0,0.016,0.077,0.056
HogsBackDryMesicForest,1970,0.820183486,0.699086939,0.464805825,0.244943142,0.133944954,0.177054387,0.160042476,0.136157794,0.01,0.009,0.013,0.029,0.01,0.026,0.044,0.067
HogsBackJackPine,1970,0.563323202,0.539517471,0.428308259,0.265513784,0.161094225,0.164725458,0.203868591,0.154135338,0,0.005,0.012,0.026,0,0.005,0.02,0.057
HogsBackOakPineForest,1970,0.628384687,0.632170543,0.541980313,0.306766773,0.126984127,0.113178295,0.164736537,0.15906247,0,0,0.01,0.028,0,0,0.019,0.065
KlondikeCampground,1970,0.868653422,0.882955051,0.903469322,0.876308867,0,0,0.008191455,0.035178212,0,0,0,0.001,0,0,0,0.003
NarrowsCreekGorge,1970,0.401215805,0.369538835,0.174001217,0.124036566,0.446808511,0.344660194,0.19995944,0.137181096,0,0.007,0.029,0.037,0,0.013,0.083,0.108
